"accuracy","tp_rate","tn_rate","precision","npv","fn_rate","fp_rate","fdr","fo_rate","trace_num"
1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.9999582864055395,1.0,0.9999582602888388,0.9375,1.0,0.0,0.06666666666666667,0.0625,0.0,1.0
0.9998748592166187,0.9230769230769231,1.0,1.0,0.9998746710114049,0.07692307692307693,0.0,0.0,0.00012532898859506203,2.0
0.9999582864055395,1.0,0.9999580589690895,0.9923664122137404,1.0,0.0,0.007692307692307693,0.007633587786259542,0.0,3.0
0.9996662912443165,0.9285714285714286,0.9999581151832461,0.9891304347826086,0.999706879946401,0.07142857142857142,0.01020408163265306,0.010869565217391304,0.0002931200535990955,4.0
1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0
0.9997914320276978,0.9723756906077348,1.0,1.0,0.9997898894818674,0.027624309392265192,0.0,0.0,0.00021011051813253772,6.0
0.9996245776498561,0.9661016949152542,0.9999578716771286,0.9956331877729258,0.9996630727762803,0.03389830508474576,0.00423728813559322,0.004366812227074236,0.00033692722371967657,7.0
0.98944646060151,0.3647959183673469,0.9998303719095882,0.9727891156462585,0.9895492319315033,0.6352040816326531,0.01020408163265306,0.027210884353741496,0.0104507680684966,8.0
0.9999582864055395,1.0,0.999958244603115,0.96,1.0,0.0,0.041666666666666664,0.04,0.0,9.0
0.9998331456221583,0.9920634920634921,0.9998741980123286,0.9765625,0.9999580624868946,0.007936507936507936,0.023809523809523808,0.0234375,4.1937513105472846e-5,1.0
0.999708004838777,0.946236559139785,0.9999162479061977,0.9777777777777777,0.9997906460662396,0.053763440860215055,0.021505376344086023,0.022222222222222223,0.00020935393376041536,1.0
0.9992491552997121,0.8584070796460177,0.999916177703269,0.9797979797979798,0.9993298148613554,0.1415929203539823,0.017699115044247787,0.020202020202020204,0.0006701851386445506,1.0
0.9995828640553956,0.9156626506024096,0.9998744244453747,0.9620253164556962,0.9997070394241232,0.08433734939759036,0.03614457831325301,0.0379746835443038,0.00029296057587678917,1.0
1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0.9998331456221583,0.9652173913043478,1.0,1.0,0.9998323694577151,0.034782608695652174,0.0,0.0,0.0001676305422848043,1.0
0.999416009677554,0.9078947368421053,1.0,1.0,0.9994126284875183,0.09210526315789473,0.0,0.0,0.0005873715124816446,1.0
0.9998748592166187,0.96875,1.0,1.0,0.9998743718592965,0.03125,0.0,0.0,0.0001256281407035176,1.0
0.9999582864055395,0.9285714285714286,1.0,1.0,0.9999582637729549,0.07142857142857142,0.0,0.0,4.1736227045075125e-5,1.0
1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0.9999582864055395,0.9090909090909091,1.0,1.0,0.9999582689980386,0.09090909090909091,0.0,0.0,4.173100196135709e-5,2.0
