num_spikes,num_predicted,accuracy,tp_rate,tn_rate,precision,npv,fn_rate,fp_rate,fd_rate,fo_rate,trace_num
84.0,81.0,0.9781094527363184,0.8641975308641975,0.9880952380952381,0.8641975308641975,0.9880952380952381,0.13580246913580246,0.011904761904761904,0.13580246913580246,0.011904761904761904,1.0
99.0,63.0,0.9653061224489796,0.7301587301587301,0.9814612868047983,0.7301587301587301,0.9814612868047983,0.2698412698412698,0.018538713195201745,0.2698412698412698,0.018538713195201745,2.0
111.0,48.0,0.9619852164730729,0.625,0.9799777530589544,0.625,0.9799777530589544,0.375,0.020022246941045607,0.375,0.020022246941045607,3.0
100.0,72.0,0.9408766564729868,0.5972222222222222,0.9680968096809681,0.5972222222222222,0.9680968096809681,0.4027777777777778,0.0319031903190319,0.4027777777777778,0.0319031903190319,4.0
101.0,99.0,0.9051383399209486,0.5151515151515151,0.9474260679079957,0.5151515151515151,0.9474260679079957,0.48484848484848486,0.05257393209200438,0.48484848484848486,0.05257393209200438,5.0
109.0,122.0,0.8963831867057673,0.5655737704918032,0.9411764705882353,0.5655737704918032,0.9411764705882353,0.4344262295081967,0.058823529411764705,0.4344262295081967,0.058823529411764705,6.0
107.0,61.0,0.9482936918304034,0.5901639344262295,0.9724061810154525,0.5901639344262295,0.9724061810154525,0.4098360655737705,0.02759381898454746,0.4098360655737705,0.02759381898454746,7.0
114.0,77.0,0.9531090723751274,0.7012987012987013,0.9745575221238938,0.7012987012987013,0.9745575221238938,0.2987012987012987,0.025442477876106196,0.2987012987012987,0.025442477876106196,8.0
112.0,118.0,0.9214145383104125,0.6610169491525424,0.9555555555555556,0.6610169491525424,0.9555555555555556,0.3389830508474576,0.044444444444444446,0.3389830508474576,0.044444444444444446,9.0
93.0,119.0,0.9224806201550387,0.6638655462184874,0.9561883899233297,0.6638655462184874,0.9561883899233297,0.33613445378151263,0.04381161007667032,0.33613445378151263,0.04381161007667032,10.0
111.0,90.0,0.9596367305751766,0.7777777777777778,0.9778024417314095,0.7777777777777778,0.9778024417314095,0.2222222222222222,0.022197558268590455,0.2222222222222222,0.022197558268590455,11.0
94.0,73.0,0.961499493414387,0.7397260273972602,0.9792122538293216,0.7397260273972602,0.9792122538293216,0.2602739726027397,0.020787746170678335,0.2602739726027397,0.020787746170678335,12.0
94.0,107.0,0.9255631733594515,0.6448598130841121,0.9584245076586433,0.6448598130841121,0.9584245076586433,0.35514018691588783,0.04157549234135667,0.35514018691588783,0.04157549234135667,13.0
103.0,111.0,0.9368836291913215,0.7117117117117117,0.964562569213732,0.7117117117117117,0.964562569213732,0.2882882882882883,0.035437430786267994,0.2882882882882883,0.035437430786267994,14.0
105.0,118.0,0.9434146341463414,0.7542372881355932,0.9680264608599779,0.7542372881355932,0.9680264608599779,0.2457627118644068,0.03197353914002205,0.2457627118644068,0.03197353914002205,15.0
106.0,128.0,0.8980769230769231,0.5859375,0.9418859649122807,0.5859375,0.9418859649122807,0.4140625,0.0581140350877193,0.4140625,0.0581140350877193,16.0
102.0,106.0,0.9603960396039604,0.8113207547169812,0.9778761061946902,0.8113207547169812,0.9778761061946902,0.18867924528301888,0.022123893805309734,0.18867924528301888,0.022123893805309734,17.0
115.0,69.0,0.9525773195876288,0.6666666666666666,0.974472807991121,0.6666666666666666,0.974472807991121,0.3333333333333333,0.025527192008879023,0.3333333333333333,0.025527192008879023,18.0
90.0,74.0,0.9738430583501007,0.8243243243243243,0.9858695652173913,0.8243243243243243,0.9858695652173913,0.17567567567567569,0.014130434782608696,0.17567567567567569,0.014130434782608696,19.0
108.0,98.0,0.9560878243512974,0.7755102040816326,0.9756637168141593,0.7755102040816326,0.9756637168141593,0.22448979591836735,0.024336283185840708,0.22448979591836735,0.024336283185840708,20.0
84.0,87.0,0.9524281466798811,0.7241379310344828,0.9739696312364425,0.7241379310344828,0.9739696312364425,0.27586206896551724,0.026030368763557483,0.27586206896551724,0.026030368763557483,21.0
105.0,80.0,0.9332659251769464,0.5875,0.9636963696369637,0.5875,0.9636963696369637,0.4125,0.036303630363036306,0.4125,0.036303630363036306,22.0
106.0,72.0,0.9300411522633745,0.5277777777777778,0.9622222222222222,0.5277777777777778,0.9622222222222222,0.4722222222222222,0.03777777777777778,0.4722222222222222,0.03777777777777778,23.0
91.0,78.0,0.963963963963964,0.7692307692307693,0.9804560260586319,0.7692307692307693,0.9804560260586319,0.23076923076923078,0.019543973941368076,0.23076923076923078,0.019543973941368076,24.0
92.0,64.0,0.932994923857868,0.484375,0.9641693811074918,0.484375,0.9641693811074918,0.515625,0.035830618892508145,0.515625,0.035830618892508145,25.0
104.0,132.0,0.9076923076923077,0.6363636363636364,0.947136563876652,0.6363636363636364,0.947136563876652,0.36363636363636365,0.05286343612334802,0.36363636363636365,0.05286343612334802,26.0
96.0,69.0,0.9306829765545361,0.5072463768115942,0.9627192982456141,0.5072463768115942,0.9627192982456141,0.4927536231884058,0.03728070175438596,0.4927536231884058,0.03728070175438596,27.0
93.0,110.0,0.9414634146341463,0.7272727272727273,0.9672131147540983,0.7272727272727273,0.9672131147540983,0.2727272727272727,0.03278688524590164,0.2727272727272727,0.03278688524590164,28.0
106.0,87.0,0.937625754527163,0.6436781609195402,0.9658213891951488,0.6436781609195402,0.9658213891951488,0.3563218390804598,0.034178610804851156,0.3563218390804598,0.034178610804851156,29.0
96.0,72.0,0.9317269076305221,0.5277777777777778,0.9632034632034632,0.5277777777777778,0.9632034632034632,0.4722222222222222,0.0367965367965368,0.4722222222222222,0.0367965367965368,30.0
