num_spikes,num_predicted,accuracy,tp_rate,tn_rate,precision,npv,fn_rate,fp_rate,fd_rate,fo_rate,trace_num
12.0,132.0,0.9900386004233594,0.09090909090909091,0.994991861775385,0.09090909090909091,0.994991861775385,0.9090909090909091,0.005008138224614999,0.9090909090909091,0.005008138224614999,0.0
17.0,16.0,0.9994160340368733,0.5625,0.9997078220218716,0.5625,0.9997078220218716,0.4375,0.00029217797812839134,0.4375,0.00029217797812839134,1.0
39.0,42.0,0.9977477477477478,0.35714285714285715,0.9988718977187265,0.35714285714285715,0.9988718977187265,0.6428571428571429,0.001128102281273502,0.6428571428571429,0.001128102281273502,2.0
132.0,92.0,0.9944015040735324,0.2717391304347826,0.9971899509289939,0.2717391304347826,0.9971899509289939,0.7282608695652174,0.002810049071006165,0.7282608695652174,0.002810049071006165,3.0
100.0,97.0,0.9951610211913899,0.4020618556701031,0.9975706806282723,0.4020618556701031,0.9975706806282723,0.5979381443298969,0.0024293193717277485,0.5979381443298969,0.0024293193717277485,4.0
71.0,75.0,0.9954122700921717,0.26666666666666666,0.9976989373274203,0.26666666666666666,0.9976989373274203,0.7333333333333333,0.0023010626725797003,0.7333333333333333,0.0023010626725797003,5.0
181.0,199.0,0.9930807386103122,0.5829145728643216,0.9965114324142569,0.5829145728643216,0.9965114324142569,0.41708542713567837,0.003488567585743107,0.41708542713567837,0.003488567585743107,6.0
236.0,163.0,0.9927196652719665,0.4662576687116564,0.9963348359101825,0.4662576687116564,0.9963348359101825,0.5337423312883436,0.003665164089817584,0.5337423312883436,0.003665164089817584,7.0
401.0,197.0,0.9876371893528447,0.25380710659898476,0.993766960651289,0.25380710659898476,0.993766960651289,0.7461928934010152,0.006233039348710991,0.7461928934010152,0.006233039348710991,8.0
26.0,159.0,0.9884685581549693,0.12578616352201258,0.9941959998329785,0.12578616352201258,0.9941959998329785,0.8742138364779874,0.005804000167021588,0.8742138364779874,0.005804000167021588,9.0
132.0,124.0,0.9954945559217387,0.5645161290322581,0.9977355642219147,0.5645161290322581,0.9977355642219147,0.43548387096774194,0.0022644357780852937,0.43548387096774194,0.0022644357780852937,10.0
97.0,106.0,0.9934962061202368,0.2641509433962264,0.9967336683417085,0.2641509433962264,0.9967336683417085,0.7358490566037735,0.0032663316582914573,0.7358490566037735,0.0032663316582914573,11.0
117.0,102.0,0.9942408813955429,0.3235294117647059,0.9971081307627829,0.3235294117647059,0.9971081307627829,0.6764705882352942,0.0028918692372170997,0.6764705882352942,0.0028918692372170997,12.0
90.0,81.0,0.9958284665443017,0.38271604938271603,0.9979071616926877,0.38271604938271603,0.9979071616926877,0.6172839506172839,0.002092838307312377,0.6172839506172839,0.002092838307312377,13.0
65.0,68.0,0.995412078745412,0.19117647058823528,0.9976995148067592,0.19117647058823528,0.9976995148067592,0.8088235294117647,0.0023004851932407564,0.8088235294117647,0.0023004851932407564,14.0
115.0,97.0,0.9939052389897725,0.24742268041237114,0.9969402296923464,0.24742268041237114,0.9969402296923464,0.7525773195876289,0.0030597703076536173,0.7525773195876289,0.0030597703076536173,15.0
152.0,195.0,0.9875916055962691,0.2358974358974359,0.9937450149028169,0.2358974358974359,0.9937450149028169,0.764102564102564,0.006254985097183158,0.764102564102564,0.006254985097183158,16.0
96.0,71.0,0.9974110572907967,0.5633802816901409,0.9987016794404657,0.5633802816901409,0.9987016794404657,0.43661971830985913,0.0012983205595342797,0.43661971830985913,0.0012983205595342797,17.0
14.0,36.0,0.9979162325484476,0.3055555555555556,0.9989565507742393,0.3055555555555556,0.9989565507742393,0.6944444444444444,0.0010434492257606746,0.6944444444444444,0.0010434492257606746,18.0
17.0,17.0,0.9992491552997121,0.47058823529411764,0.9996243112372684,0.47058823529411764,0.9996243112372684,0.5294117647058824,0.00037568876273167475,0.5294117647058824,0.00037568876273167475,19.0
11.0,12.0,0.9994160340368733,0.4166666666666667,0.9997078707954261,0.4166666666666667,0.9997078707954261,0.5833333333333334,0.00029212920457390867,0.5833333333333334,0.00029212920457390867,20.0
