"num_spikes","num_predicted","accuracy","tp_rate","tn_rate","precision","npv","fn_rate","fp_rate","fd_rate","fo_rate","trace_num"
12.0,112.0,0.9916088563951315,0.09821428571428571,0.9957848169942823,0.09821428571428571,0.9957848169942823,0.9017857142857143,0.004215183005717624,0.9017857142857143,0.004215183005717624,0.0
17.0,340.0,0.9732488270639559,0.04411764705882353,0.9864345938726105,0.04411764705882353,0.9864345938726105,0.9558823529411765,0.0135654061273896,0.9558823529411765,0.0135654061273896,1.0
39.0,42.0,0.9989155822489156,0.6904761904761905,0.9994568396423498,0.6904761904761905,0.9994568396423498,0.30952380952380953,0.0005431603576502047,0.30952380952380953,0.0005431603576502047,2.0
132.0,122.0,0.9950761527227207,0.5163934426229508,0.9975254791762782,0.5163934426229508,0.9975254791762782,0.48360655737704916,0.0024745208237218473,0.48360655737704916,0.0024745208237218473,3.0
100.0,111.0,0.9942466438755941,0.3783783783783784,0.9971099476439791,0.3783783783783784,0.9971099476439791,0.6216216216216216,0.0028900523560209425,0.6216216216216216,0.0028900523560209425,4.0
71.0,67.0,0.9957445033167842,0.23880597014925373,0.9978662873399715,0.23880597014925373,0.9978662873399715,0.7611940298507462,0.0021337126600284497,0.7611940298507462,0.0021337126600284497,5.0
181.0,198.0,0.9964151729887453,0.7828282828282829,0.9981926698049765,0.7828282828282829,0.9981926698049765,0.21717171717171718,0.0018073301950235373,0.21717171717171718,0.0018073301950235373,6.0
236.0,268.0,0.9920849822953551,0.6455223880597015,0.9959978093272107,0.6455223880597015,0.9959978093272107,0.35447761194029853,0.0040021906727893165,0.35447761194029853,0.0040021906727893165,7.0
401.0,109.0,0.9963702359346642,0.6055045871559633,0.9981767299864315,0.6055045871559633,0.9981767299864315,0.3944954128440367,0.001823270013568521,0.3944954128440367,0.001823270013568521,8.0
26.0,154.0,0.9884661660374228,0.09740259740259741,0.9941959998329785,0.09740259740259741,0.9941959998329785,0.9025974025974026,0.005804000167021588,0.9025974025974026,0.005804000167021588,9.0
132.0,127.0,0.9944106114957871,0.47244094488188976,0.9971904222753386,0.47244094488188976,0.9971904222753386,0.5275590551181102,0.002809577724661383,0.5275590551181102,0.002809577724661383,10.0
97.0,95.0,0.9951616266944734,0.3894736842105263,0.997571189279732,0.3894736842105263,0.997571189279732,0.6105263157894737,0.0024288107202680067,0.6105263157894737,0.0024288107202680067,11.0
117.0,100.0,0.994991652754591,0.4,0.9974853310980721,0.4,0.9974853310980721,0.6,0.002514668901927913,0.6,0.002514668901927913,12.0
90.0,95.0,0.9946635537396815,0.3263157894736842,0.9973211669666402,0.3263157894736842,0.9973211669666402,0.6736842105263158,0.0026788330333598425,0.6736842105263158,0.0026788330333598425,13.0
65.0,74.0,0.9962471853890418,0.3918918918918919,0.998117784841894,0.3918918918918919,0.998117784841894,0.6081081081081081,0.0018822151581060734,0.6081081081081081,0.0018822151581060734,14.0
115.0,63.0,0.9974917436562016,0.5238095238095238,0.9987425601475396,0.5238095238095238,0.9987425601475396,0.47619047619047616,0.0012574398524603906,0.47619047619047616,0.0012574398524603906,15.0
152.0,123.0,0.9980788506515202,0.8130081300813008,0.9990344653876831,0.8130081300813008,0.9990344653876831,0.18699186991869918,0.0009655346123168633,0.18699186991869918,0.0009655346123168633,16.0
96.0,122.0,0.9960831701320888,0.6147540983606558,0.9980315785065126,0.6147540983606558,0.9980315785065126,0.38524590163934425,0.0019684214934874563,0.38524590163934425,0.0019684214934874563,17.0
14.0,14.0,0.9999165728110792,0.9285714285714286,0.9999582620309696,0.9285714285714286,0.9999582620309696,0.07142857142857142,4.1737969030426976e-5,0.07142857142857142,4.1737969030426976e-5,18.0
17.0,18.0,0.9992491866188371,0.5,0.9996243112372684,0.5,0.9996243112372684,0.5,0.00037568876273167475,0.5,0.00037568876273167475,19.0
11.0,8.0,0.9994159365874009,0.125,0.9997078707954261,0.125,0.9997078707954261,0.875,0.00029212920457390867,0.875,0.00029212920457390867,20.0
