"num_spikes","num_predicted","accuracy","tp_rate","tn_rate","precision","npv","fn_rate","fp_rate","fd_rate","fo_rate","trace_num"
12.0,14.0,0.9992492179353494,0.35714285714285715,0.9996243896331539,0.35714285714285715,0.9996243896331539,0.6428571428571429,0.00037561036684612495,0.6428571428571429,0.00037561036684612495,0.0
17.0,19.0,0.9993326938315886,0.5789473684210527,0.9996660823107104,0.5789473684210527,0.9996660823107104,0.42105263157894735,0.0003339176892895901,0.42105263157894735,0.0003339176892895901,1.0
39.0,45.0,0.997831435839693,0.4222222222222222,0.9989136792846995,0.4222222222222222,0.9989136792846995,0.5777777777777777,0.0010863207153004094,0.5777777777777777,0.0010863207153004094,2.0
132.0,122.0,0.9941581472981431,0.4262295081967213,0.9970641278362622,0.4262295081967213,0.9970641278362622,0.5737704918032787,0.0029358721637377846,0.5737704918032787,0.0029358721637377846,3.0
100.0,94.0,0.9957445033167842,0.4574468085106383,0.9978638743455497,0.4574468085106383,0.9978638743455497,0.5425531914893617,0.0021361256544502618,0.5425531914893617,0.0021361256544502618,4.0
71.0,63.0,0.9972459837262675,0.47619047619047616,0.9986193623964522,0.47619047619047616,0.9986193623964522,0.5238095238095238,0.0013806376035478203,0.5238095238095238,0.0013806376035478203,5.0
181.0,128.0,0.9940635451505017,0.4453125,0.9970158036314728,0.4453125,0.9970158036314728,0.5546875,0.0029841963685272362,0.5546875,0.0029841963685272362,6.0
236.0,412.0,0.9711789308045882,0.1553398058252427,0.9853393436407296,0.1553398058252427,0.9853393436407296,0.8446601941747572,0.014660656359270337,0.8446601941747572,0.014660656359270337,7.0
401.0,444.0,0.9672049275844847,0.11261261261261261,0.9832937584803256,0.11261261261261261,0.9832937584803256,0.8873873873873874,0.016706241519674356,0.8873873873873874,0.016706241519674356,8.0
26.0,20.0,0.9989152655513371,0.35,0.9994571798404944,0.35,0.9994571798404944,0.65,0.0005428201595056161,0.65,0.0005428201595056161,9.0
132.0,154.0,0.9930002916545144,0.45454545454545453,0.9964775443452006,0.45454545454545453,0.9964775443452006,0.5454545454545454,0.0035224556547993457,0.5454545454545454,0.0035224556547993457,10.0
97.0,108.0,0.9950808737702185,0.4537037037037037,0.9975293132328308,0.4537037037037037,0.9975293132328308,0.5462962962962963,0.002470686767169179,0.5462962962962963,0.002470686767169179,11.0
117.0,119.0,0.9944951832853747,0.44537815126050423,0.9972338642078793,0.44537815126050423,0.9972338642078793,0.5546218487394958,0.002766135792120704,0.5546218487394958,0.002766135792120704,12.0
90.0,80.0,0.9960785949689208,0.4125,0.9980327319911264,0.4125,0.9980327319911264,0.5875,0.0019672680088736343,0.5875,0.0019672680088736343,13.0
65.0,60.0,0.997413217623498,0.48333333333333334,0.9987033628910825,0.48333333333333334,0.9987033628910825,0.5166666666666667,0.0012966371089175172,0.5166666666666667,0.0012966371089175172,14.0
115.0,117.0,0.9931595411887383,0.29914529914529914,0.9965629977366083,0.29914529914529914,0.9965629977366083,0.7008547008547008,0.0034370022633917344,0.7008547008547008,0.0034370022633917344,15.0
152.0,151.0,0.9922409477724011,0.3841059602649007,0.9960958817849797,0.3841059602649007,0.9960958817849797,0.6158940397350994,0.0039041182150203603,0.6158940397350994,0.0039041182150203603,16.0
96.0,81.0,0.9967443025294265,0.5185185185185185,0.9983666289734892,0.5185185185185185,0.9983666289734892,0.48148148148148145,0.0016333710265108682,0.48148148148148145,0.0016333710265108682,17.0
14.0,15.0,0.9993326103278551,0.4666666666666667,0.9996660962477566,0.4666666666666667,0.9996660962477566,0.5333333333333333,0.0003339037522434158,0.5333333333333333,0.0003339037522434158,18.0
17.0,16.0,0.9991656933088603,0.375,0.9995825680414092,0.375,0.9995825680414092,0.625,0.0004174319585907497,0.625,0.0004174319585907497,19.0
11.0,10.0,0.9994994159853162,0.4,0.9997496035389366,0.4,0.9997496035389366,0.6,0.0002503964610633503,0.6,0.0002503964610633503,20.0
