"accuracy","tp_rate","tn_rate","precision","npv","fn_rate","fp_rate","fdr","fo_rate","trace_num"
0.9998331525819638,0.8461538461538461,0.9999165310295898,0.8461538461538461,0.9999165310295898,0.15384615384615385,8.346897041025e-5,0.15384615384615385,8.346897041025e-5,0.0
0.9996663051639276,0.75,0.9998330411553552,0.75,0.9998330411553552,0.25,0.00016695884464479506,0.25,0.00016695884464479506,1.0
0.9996662494785148,0.8888888888888888,0.9998328737361076,0.8888888888888888,0.9998328737361076,0.1111111111111111,0.00016712626389237068,0.1111111111111111,0.00016712626389237068,2.0
0.9991634599297307,0.8461538461538461,0.9995805896908946,0.8461538461538461,0.9995805896908946,0.15384615384615385,0.0004194103091053978,0.15384615384615385,0.0004194103091053978,3.0
0.9979138851802403,0.7311827956989247,0.9989528795811519,0.7311827956989247,0.9989528795811519,0.26881720430107525,0.0010471204188481676,0.26881720430107525,0.0010471204188481676,4.0
0.9988318244399016,0.7910447761194029,0.9994142749560706,0.7910447761194029,0.9994142749560706,0.208955223880597,0.0005857250439293783,0.208955223880597,0.0005857250439293783,5.0
0.9983311777712879,0.8870056497175142,0.9991593813046402,0.8870056497175142,0.9991593813046402,0.11299435028248588,0.0008406186953597848,0.11299435028248588,0.0008406186953597848,6.0
0.9888389138763951,0.5127272727272727,0.9943548047352235,0.5127272727272727,0.9943548047352235,0.48727272727272725,0.005645195264776509,0.48727272727272725,0.005645195264776509,7.0
0.9972162469948121,0.736,0.9986007462686567,0.736,0.9986007462686567,0.264,0.0013992537313432835,0.264,0.0013992537313432835,8.0
0.9995828988529718,0.8076923076923077,0.9997912230155748,0.8076923076923077,0.9997912230155748,0.19230769230769232,0.00020877698442523697,0.19230769230769232,0.00020877698442523697,9.0
0.9972477064220183,0.7518796992481203,0.9986161781356145,0.7518796992481203,0.9986161781356145,0.24812030075187969,0.0013838218643854572,0.24812030075187969,0.0013838218643854572,1.0
0.9981638359137003,0.7349397590361446,0.9990787269681742,0.7349397590361446,0.9990787269681742,0.26506024096385544,0.0009212730318257956,0.26506024096385544,0.0009212730318257956,1.0
0.9978296256104178,0.7373737373737373,0.9989103101424979,0.7373737373737373,0.9989103101424979,0.26262626262626265,0.0010896898575020956,0.26262626262626265,0.0010896898575020956,1.0
0.9980814947658172,0.7325581395348837,0.9990372943786363,0.7325581395348837,0.9990372943786363,0.26744186046511625,0.0009627056213636935,0.26744186046511625,0.0009627056213636935,1.0
1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0.9988321167883212,0.8803418803418803,0.9994131947355185,0.8803418803418803,0.9994131947355185,0.11965811965811966,0.0005868052644815156,0.11965811965811966,0.0005868052644815156,1.0
0.9984947944976377,0.8125,0.9992443642164477,0.8125,0.9992443642164477,0.1875,0.0007556357835523278,0.1875,0.0007556357835523278,1.0
0.9987483311081442,0.8351648351648352,0.9993717803744189,0.8351648351648352,0.9993717803744189,0.16483516483516483,0.0006282196255811032,0.16483516483516483,0.0006282196255811032,1.0
1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0.9998331456221583,0.8181818181818182,0.9999165345129789,0.8181818181818182,0.9999165345129789,0.18181818181818182,8.346548702111677e-5,0.18181818181818182,8.346548702111677e-5,2.0
