"accuracy","tp_rate","tn_rate","precision","npv","fn_rate","fp_rate","fdr","fo_rate","trace_num"
0.9897904129487446,0.08208955223880597,0.9948666583197696,0.08208955223880597,0.9948666583197696,0.917910447761194,0.005133341680230374,0.917910447761194,0.005133341680230374,0.0
0.9672548215018465,0.03155339805825243,0.9833458552466817,0.03155339805825243,0.9833458552466817,0.9684466019417476,0.016654144753318306,0.9684466019417476,0.016654144753318306,1.0
0.9984978719853125,0.4375,0.9992479318124843,0.4375,0.9992479318124843,0.5625,0.0007520681875156681,0.5625,0.0007520681875156681,2.0
0.9918319719953326,0.35947712418300654,0.9958897789707671,0.35947712418300654,0.9958897789707671,0.6405228758169934,0.004110221029232899,0.6405228758169934,0.004110221029232899,3.0
0.9956614242209336,0.4583333333333333,0.9978219895287959,0.4583333333333333,0.9978219895287959,0.5416666666666666,0.0021780104712041883,0.5416666666666666,0.0021780104712041883,4.0
0.9967470180999249,0.4868421052631579,0.9983683373776253,0.4868421052631579,0.9983683373776253,0.5131578947368421,0.0016316626223746966,0.5131578947368421,0.0016316626223746966,5.0
0.9933993399339934,0.45517241379310347,0.9966795561533288,0.45517241379310347,0.9966795561533288,0.5448275862068965,0.00332044384667115,0.5448275862068965,0.00332044384667115,6.0
0.9829152429369115,0.21455938697318008,0.9913636938113494,0.21455938697318008,0.9913636938113494,0.7854406130268199,0.00863630618865063,0.7854406130268199,0.00863630618865063,7.0
0.991568652249062,0.27007299270072993,0.9957598371777476,0.27007299270072993,0.9957598371777476,0.7299270072992701,0.004240162822252374,0.7299270072992701,0.004240162822252374,8.0
0.9914419841302813,0.1557377049180328,0.9956991941208401,0.1557377049180328,0.9956991941208401,0.8442622950819673,0.004300805879159882,0.8442622950819673,0.004300805879159882,9.0
0.9945792677841715,0.5185185185185185,0.9972742902671196,0.5185185185185185,0.9972742902671196,0.48148148148148145,0.002725709732880446,0.48148148148148145,0.002725709732880446,1.0
0.9946631087391594,0.38461538461538464,0.997319932998325,0.38461538461538464,0.997319932998325,0.6153846153846154,0.002680067001675042,0.6153846153846154,0.002680067001675042,1.0
0.9939110851613979,0.3813559322033898,0.9969404861693211,0.3813559322033898,0.9969404861693211,0.6186440677966102,0.0030595138306789608,0.6186440677966102,0.0030595138306789608,1.0
0.9956626907998999,0.40229885057471265,0.9978234481603951,0.40229885057471265,0.9978234481603951,0.5977011494252874,0.0021765518396048723,0.5977011494252874,0.0021765518396048723,1.0
0.9960787585516436,0.265625,0.998034130834867,0.265625,0.998034130834867,0.734375,0.00196586916513301,0.734375,0.00196586916513301,1.0
0.9960730250240214,0.4050632911392405,0.9980300108978121,0.4050632911392405,0.9980300108978121,0.5949367088607594,0.0019699891021879453,0.5949367088607594,0.0019699891021879453,1.0
0.9889208213586572,0.2925531914893617,0.9944166911548633,0.2925531914893617,0.9944166911548633,0.7074468085106383,0.005583308845136644,0.7074468085106383,0.005583308845136644,1.0
0.9972439136426274,0.5285714285714286,0.9986179168237216,0.5285714285714286,0.9986179168237216,0.4714285714285714,0.0013820831762784268,0.4714285714285714,0.0013820831762784268,1.0
0.9976667638848381,0.3333333333333333,0.9988313368671481,0.3333333333333333,0.9988313368671481,0.6666666666666666,0.0011686631328519555,0.6666666666666666,0.0011686631328519555,1.0
0.9974168819265061,0.32608695652173914,0.9987059609283687,0.32608695652173914,0.9987059609283687,0.6739130434782609,0.001294039071631324,0.6739130434782609,0.001294039071631324,1.0
0.9979163193865644,0.2647058823529412,0.998956681412236,0.2647058823529412,0.998956681412236,0.7352941176470589,0.0010433185877639596,0.7352941176470589,0.0010433185877639596,2.0
