"accuracy","tp_rate","tn_rate","precision","npv","fn_rate","fp_rate","fdr","fo_rate","trace_num"
1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.9997914320276978,0.7333333333333333,0.9999582602888388,0.9166666666666666,0.9998330620591795,0.26666666666666666,0.06666666666666667,0.08333333333333333,0.0001669379408205,1.0
0.9995828640553956,0.7435897435897436,1.0,1.0,0.999582358837287,0.2564102564102564,0.0,0.0,0.000417641162712997,2.0
0.996829766821007,0.4198473282442748,1.0,1.0,0.9968224767957187,0.5801526717557252,0.0,0.0,0.0031775232042812944,3.0
0.9983731698160431,0.6122448979591837,0.9999581151832461,0.9836065573770492,0.9984108397457344,0.3877551020408163,0.01020408163265306,0.01639344262295082,0.0015891602542656407,4.0
0.999332582488633,0.7746478873239436,1.0,1.0,0.9993310477464671,0.22535211267605634,0.0,0.0,0.0006689522535329041,5.0
0.9976640387102157,0.6906077348066298,1.0,1.0,0.9976517946997652,0.30939226519337015,0.0,0.0,0.0023482053002348204,6.0
0.9919909898635966,0.1864406779661017,1.0,1.0,0.9919762631117055,0.8135593220338984,0.0,0.0,0.008023736888294539,7.0
0.9853585283443874,0.11139240506329114,1.0,1.0,0.9853316060010866,0.8886075949367088,0.0,0.0,0.014668393998913452,8.0
0.9997497184332373,0.7916666666666666,0.999958244603115,0.95,0.999791257880015,0.20833333333333334,0.041666666666666664,0.05,0.00020874211998497057,9.0
0.9979560338714387,0.6349206349206349,0.9998741980123286,0.963855421686747,0.9980745081624111,0.36507936507936506,0.023809523809523808,0.03614457831325301,0.0019254918375889492,1.0
0.9980394610603596,0.5161290322580645,0.9999162479061977,0.96,0.9981189650127492,0.4838709677419355,0.021505376344086023,0.04,0.0018810349872507629,1.0
0.9975806115212947,0.504424778761062,0.999916177703269,0.9661016949152542,0.9976582754871623,0.49557522123893805,0.017699115044247787,0.03389830508474576,0.0023417245128376685,1.0
0.9982063154382013,0.524390243902439,0.999832572935415,0.9148936170212766,0.9983699740867675,0.47560975609756095,0.04878048780487805,0.0851063829787234,0.0016300259132324669,1.0
0.9990823009218704,0.6615384615384615,1.0,1.0,0.9990806519013791,0.3384615384615385,0.0,0.0,0.0009193480986209779,1.0
0.9968714804154674,0.34782608695652173,1.0,1.0,0.9968662516191034,0.6521739130434783,0.0,0.0,0.0031337483808966697,1.0
0.9959120677428774,0.35526315789473684,1.0,1.0,0.9959028387474392,0.6447368421052632,0.0,0.0,0.004097161252560726,1.0
0.9981646018437409,0.5416666666666666,1.0,1.0,0.9981606120145479,0.4583333333333333,0.0,0.0,0.0018393879854521132,1.0
0.9999165728110792,0.8571428571428571,1.0,1.0,0.9999165310295898,0.14285714285714285,0.0,0.0,8.346897041025e-5,1.0
0.9999582864055395,0.9411764705882353,1.0,1.0,0.9999582585465626,0.058823529411764705,0.0,0.0,4.174145343740869e-5,1.0
0.9999165728110792,0.8181818181818182,1.0,1.0,0.999916541478885,0.18181818181818182,0.0,0.0,8.345852111500584e-5,2.0
